الاسم,الصورة,المادة المرتبطة,الملاحظات,السعر,group
finishing strip& الشريط الانهائي& فنشنك سترب,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/Picsart_25-08-20_13-34-21-946.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),للتشطيب والتلميع بعد ماتتصلب الحشوة,,composite needs
stright elevator& رافع مستقيم& ستريت اليفيتر,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00029.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00025.png",oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21),احد ادوات القلع الوضيفه لاحقا,,elevators
chisel elevator& رافع ازميلي& جزل اليفيتر,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00026.png,oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21),احد ادوات القلع الوظيفة لاحقا,,elevators
cryer elevator& رافع كرير& كرير اليفيتر,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00030.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00027.png",oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21),احد ادوات القلع الوظيفة لاحقا,,elevators
apexo elevator& رافع قمة الجذر& ابيكسو اليفيتر,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00031.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00028.png",oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21),احد ادوات القلع الوظيفة لاحقا,,elevators
upper incisors forceps& ملقط القواطع العلوية,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00033.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00032.png",oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21),احد ادوات القلع الوظيفة لاحقا,,upper forcpes
upper premolars forcpes& ملقط الضواحك العلوية,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00034.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00035.png",oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21),احد ادوات القلع الوظفية لاحقا,,upper forcpes
upper molars forcpes& ملقط الاضراس العلوية,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00037.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00038.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00036.png",oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21),احد اداوت القلع الوظيفة لاحقا,,upper forcpes
upper third molar forcpes& ملقط سن العقل العلوي,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00040.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00039.png",oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21),احد ادوات القلع الوظيفة لاحقا,,upper forcpes
upper root forcpes& ملقط الجذور العلوية,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00042.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00041.png",oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21),احد ادوات القلع الوظيفة لاحقا,,upper forcpes
